Scenario 1 ===============================================================>

Python binary: /home/chaurasi/semesterproject/venvs/venv-graph1/bin/python
Python version: Python 3.10.4
2.8.0+cu128
12.8
True
Training Examples: 412, Val Examples: 40, Test Examples: 48
Elapsed time: 1788.7766 seconds
412
torch.Size([329500, 14])
torch.Size([129900, 14])
torch.Size([172400, 14])
Step 55, Batch Loss: 0.0984, Graph Shape: torch.Size([113600, 14]), target shape: torch.Size([1136, 1])
Step 56, Batch Loss: 0.1548, Graph Shape: torch.Size([113900, 14]), target shape: torch.Size([1139, 1])
Step 57, Batch Loss: 0.1186, Graph Shape: torch.Size([113200, 14]), target shape: torch.Size([1132, 1])
Step 58, Batch Loss: 0.0713, Graph Shape: torch.Size([113200, 14]), target shape: torch.Size([1132, 1])
Step 59, Batch Loss: 0.0941, Graph Shape: torch.Size([113900, 14]), target shape: torch.Size([1139, 1])
Step 60, Batch Loss: 0.1398, Graph Shape: torch.Size([382100, 14]), target shape: torch.Size([3821, 1])
Step 61, Batch Loss: 0.1053, Graph Shape: torch.Size([421500, 14]), target shape: torch.Size([4215, 1])
Step 62, Batch Loss: 0.1847, Graph Shape: torch.Size([341500, 14]), target shape: torch.Size([3415, 1])
Step 63, Batch Loss: 0.1873, Graph Shape: torch.Size([290100, 14]), target shape: torch.Size([2901, 1])
Step 64, Batch Loss: 0.1658, Graph Shape: torch.Size([233400, 14]), target shape: torch.Size([2334, 1])
Step 65, Batch Loss: 0.1415, Graph Shape: torch.Size([240200, 14]), target shape: torch.Size([2402, 1])
Step 66, Batch Loss: 0.1338, Graph Shape: torch.Size([240100, 14]), target shape: torch.Size([2401, 1])
Step 67, Batch Loss: 0.3591, Graph Shape: torch.Size([226800, 14]), target shape: torch.Size([2268, 1])
Step 68, Batch Loss: 0.0749, Graph Shape: torch.Size([167400, 14]), target shape: torch.Size([1674, 1])
Step 69, Batch Loss: 0.2190, Graph Shape: torch.Size([323300, 14]), target shape: torch.Size([3233, 1])
Step 70, Batch Loss: 0.2184, Graph Shape: torch.Size([299200, 14]), target shape: torch.Size([2992, 1])
Step 71, Batch Loss: 0.2606, Graph Shape: torch.Size([169100, 14]), target shape: torch.Size([1691, 1])
Step 72, Batch Loss: 0.1501, Graph Shape: torch.Size([168700, 14]), target shape: torch.Size([1687, 1])
Step 73, Batch Loss: 0.2247, Graph Shape: torch.Size([389800, 14]), target shape: torch.Size([3898, 1])
Step 74, Batch Loss: 0.2717, Graph Shape: torch.Size([205700, 14]), target shape: torch.Size([2057, 1])
Step 75, Batch Loss: 0.1048, Graph Shape: torch.Size([374600, 14]), target shape: torch.Size([3746, 1])
Step 76, Batch Loss: 0.1938, Graph Shape: torch.Size([235900, 14]), target shape: torch.Size([2359, 1])
Step 77, Batch Loss: 0.2107, Graph Shape: torch.Size([372500, 14]), target shape: torch.Size([3725, 1])
Step 78, Batch Loss: 0.1446, Graph Shape: torch.Size([187800, 14]), target shape: torch.Size([1878, 1])
Step 79, Batch Loss: 0.3913, Graph Shape: torch.Size([188100, 14]), target shape: torch.Size([1881, 1])
Step 80, Batch Loss: 0.1560, Graph Shape: torch.Size([334700, 14]), target shape: torch.Size([3347, 1])
Step 81, Batch Loss: 0.1732, Graph Shape: torch.Size([186700, 14]), target shape: torch.Size([1867, 1])
Step 82, Batch Loss: 0.3916, Graph Shape: torch.Size([169100, 14]), target shape: torch.Size([1691, 1])
Step 83, Batch Loss: 0.1302, Graph Shape: torch.Size([169200, 14]), target shape: torch.Size([1692, 1])
Step 84, Batch Loss: 0.2375, Graph Shape: torch.Size([53800, 14]), target shape: torch.Size([538, 1])
Step 85, Batch Loss: 0.8782, Graph Shape: torch.Size([56900, 14]), target shape: torch.Size([569, 1])
Step 86, Batch Loss: 0.1095, Graph Shape: torch.Size([113800, 14]), target shape: torch.Size([1138, 1])
Step 87, Batch Loss: 0.0962, Graph Shape: torch.Size([203600, 14]), target shape: torch.Size([2036, 1])
Step 88, Batch Loss: 0.0975, Graph Shape: torch.Size([419000, 14]), target shape: torch.Size([4190, 1])
Step 89, Batch Loss: 0.1509, Graph Shape: torch.Size([167400, 14]), target shape: torch.Size([1674, 1])
Step 90, Batch Loss: 0.0927, Graph Shape: torch.Size([419900, 14]), target shape: torch.Size([4199, 1])
Step 91, Batch Loss: 0.1701, Graph Shape: torch.Size([183300, 14]), target shape: torch.Size([1833, 1])
Step 92, Batch Loss: 0.1012, Graph Shape: torch.Size([419600, 14]), target shape: torch.Size([4196, 1])
Step 93, Batch Loss: 0.0938, Graph Shape: torch.Size([419200, 14]), target shape: torch.Size([4192, 1])
Step 94, Batch Loss: 0.2407, Graph Shape: torch.Size([68400, 14]), target shape: torch.Size([684, 1])
Step 95, Batch Loss: 0.1048, Graph Shape: torch.Size([419200, 14]), target shape: torch.Size([4192, 1])
Step 96, Batch Loss: 0.1225, Graph Shape: torch.Size([419400, 14]), target shape: torch.Size([4194, 1])
Step 97, Batch Loss: 0.1191, Graph Shape: torch.Size([419200, 14]), target shape: torch.Size([4192, 1])
Step 98, Batch Loss: 0.1173, Graph Shape: torch.Size([419500, 14]), target shape: torch.Size([4195, 1])
Step 99, Batch Loss: 0.0967, Graph Shape: torch.Size([419500, 14]), target shape: torch.Size([4195, 1])
Step 100, Batch Loss: 0.1007, Graph Shape: torch.Size([419100, 14]), target shape: torch.Size([4191, 1])
Step 101, Batch Loss: 0.2103, Graph Shape: torch.Size([656400, 14]), target shape: torch.Size([6564, 1])
Step 102, Batch Loss: 0.0933, Graph Shape: torch.Size([419100, 14]), target shape: torch.Size([4191, 1])
Step 103, Batch Loss: 0.0943, Graph Shape: torch.Size([419200, 14]), target shape: torch.Size([4192, 1])
Step 104, Batch Loss: 0.0977, Graph Shape: torch.Size([419000, 14]), target shape: torch.Size([4190, 1])
Step 105, Batch Loss: 0.1226, Graph Shape: torch.Size([417500, 14]), target shape: torch.Size([4175, 1])
Step 106, Batch Loss: 0.1274, Graph Shape: torch.Size([106000, 14]), target shape: torch.Size([1060, 1])
Step 107, Batch Loss: 0.0977, Graph Shape: torch.Size([419600, 14]), target shape: torch.Size([4196, 1])
Step 108, Batch Loss: 0.1333, Graph Shape: torch.Size([230400, 14]), target shape: torch.Size([2304, 1])
Step 109, Batch Loss: 0.1141, Graph Shape: torch.Size([419000, 14]), target shape: torch.Size([4190, 1])
Step 110, Batch Loss: 0.1125, Graph Shape: torch.Size([419200, 14]), target shape: torch.Size([4192, 1])
